date;location;new_cases;new_deaths;total_cases;total_deaths
21/01/2020;China;;;278;6
22/01/2020;China;32;0;310;6
23/01/2020;China;264;11;574;17
24/01/2020;China;261;8;835;25
25/01/2020;China;462;16;1297;41
26/01/2020;China;688;15;1985;56
27/01/2020;China;776;24;2761;80
28/01/2020;China;1776;26;4537;106
29/01/2020;China;1460;26;5997;132
30/01/2020;China;1739;38;7736;170
31/01/2020;China;1984;43;9720;213
01/02/2020;China;2101;46;11821;259
02/02/2020;China;2590;45;14411;304
03/02/2020;China;2827;57;17238;361
04/02/2020;China;3233;64;20471;425
05/02/2020;China;3892;66;24363;491
06/02/2020;China;3697;73;28060;564
07/02/2020;China;3151;73;31211;637
08/02/2020;China;3387;86;34598;723
09/02/2020;China;2653;89;37251;812
10/02/2020;China;2984;97;40235;909
11/02/2020;China;2473;108;42708;1017
12/02/2020;China;2022;97;44730;1114
13/02/2020;China;1820;254;46550;1368
14/02/2020;China;1998;13;48548;1381
15/02/2020;China;1506;143;50054;1524
16/02/2020;China;1120;142;51174;1666
17/02/2020;China;19461;106;70635;1772
18/02/2020;China;1893;98;72528;1870
19/02/2020;China;1752;136;74280;2006
20/02/2020;China;395;115;74675;2121
21/02/2020;China;894;118;75569;2239
22/02/2020;China;823;109;76392;2348
23/02/2020;China;650;97;77042;2445
24/02/2020;China;220;150;77262;2595
25/02/2020;China;518;71;77780;2666
26/02/2020;China;411;52;78191;2718
27/02/2020;China;439;29;78630;2747
28/02/2020;China;331;44;78961;2791
29/02/2020;China;433;47;79394;2838
01/03/2020;China;574;35;79968;2873
02/03/2020;China;206;42;80174;2915
03/03/2020;China;130;31;80304;2946
04/03/2020;China;118;38;80422;2984
05/03/2020;China;143;31;80565;3015
06/03/2020;China;146;30;80711;3045
07/03/2020;China;102;28;80813;3073
08/03/2020;China;46;27;80859;3100
09/03/2020;China;45;23;80904;3123
10/03/2020;China;20;17;80924;3140
11/03/2020;China;31;22;80955;3162
12/03/2020;China;26;11;80981;3173
13/03/2020;China;10;7;80991;3180
14/03/2020;China;30;14;81021;3194
15/03/2020;China;27;10;81048;3204
16/03/2020;China;29;14;81077;3218
17/03/2020;China;39;13;81116;3231
